 site_name, latitude, longitude,soil phs:ph
B5red gate right EPT:SCS-08,43.1616,-73.072,7.5
B5red gate right EPT:SCS-08,43.1616,-73.072,6.7
B5red gate right EPT:SCS-08,43.1616,-73.072,7
EPTA2red gate:SCS-12,43,-73,8
EPTA2red gate:SCS-12,43,-73,6
EPTA2red gate:SCS-12,43,-73,7
EPTD4redgate:SCS-11,43.1616,-73.072,8
EPTD4redgate:SCS-11,43.1616,-73.072,7.3
EPT D5red gate:SCS-10,43.1616,-73.072,8
EPT D5red gate:SCS-10,43.1616,-73.072,8
EPT siteD2red gate left:SCS-09,43.1616,-73.072,7.5
EPT siteD2red gate left:SCS-09,43.1616,-73.072,7.5
EPT siteD2red gate left:SCS-09,43.1616,-73.072,7.5
NEW SCIENCE:SCS-03,40.0659,-79.8863,7.3
cghssoil:SCS-01,35.8038,-78.7003,5.8
Szko&#322;a - gleba:SCS-01,50.49183,21.67895,7
Soil Investigation site:SCS-01,14.2667,120.7,5.8
Soil Investigation site:SCS-01,14.2667,120.7,5.8
Soil Investigation site:SCS-01,14.2667,120.7,5.8
Encinar con Jaras 1b:SCS-02,40.54546,-3.6797,6
Encinar con Jaras 1b:SCS-02,40.54546,-3.6797,5
Encinar con Jaras 1b:SCS-02,40.54546,-3.6797,9
Pinar colegio 1:SCS-01,40.5524,-3.6749,7.9
Pinar colegio 1:SCS-01,40.5524,-3.6749,6.9
Pinar colegio 1:SCS-01,40.5524,-3.6749,11.3
Patio:SCS-01,19.6013,-99.2752,8.4
Patio:SCS-01,19.6013,-99.2752,8.4
Patio:SCS-01,19.6013,-99.2752,8.3
BCR #2 Soil Characterization:SCS-03,31.4677,-110.281,6.7
BCR #4  Soil Characterization:SCS-05,31.4677,-110.281,5.2
HORIZONTES ESCLEROFILO:SCS-01,-33.29996,-70.29992,6.7
School Location:SCS-01,35.3198,-94.0233,7.1
School Location:SCS-01,35.3198,-94.0233,6.7
School Location:SCS-01,35.3198,-94.0233,6.7
School Location:SCS-01,35.3198,-94.0233,6.7
daryl is cool:SCS-01,33.3345,-86.6371,4.8
vickiebirdsongtanning bed:SCS-02,33.3345,-86.6371,4.8
Botanical garden of MFU,20.039674,99.895298,6
Botanical garden of MFU,20.039674,99.895298,5
"Samet, Chonburi, Thailand (Halophytes) 2022-2024",13.344569,100.949271,6.3
Soil Characterization at Chonradsadornumrung School,13.349876,100.9759,7
บริเวณพื้นที่นาแบบขั้นบันได หมู่บ้านแม่สะลาบ,18.16418,97.8916,7.1
Agricultural Civilization Project of ChumphaeSuksa,16.541091,102.111858,6.5
chumpaesuksa2023,16.541091,102.111857,7.1
chumpaesuksa2023,16.541091,102.111857,7.1
Khon San district Fieldwork 2024,16.63065,101.94227,7
Soil Study Site:SCS-01,43.0744,-77.5022,8.3
05...City park:SCS-09,34.1065,-117.7486,3
05...City park:SCS-09,34.1065,-117.7486,6.5
05...City park:SCS-09,34.1065,-117.7486,5.7
Allah's Globe 1:SCS-03,34.1065,-117.7486,11.3
Allah's Globe 1:SCS-03,34.1065,-117.7486,5.5
